title,description,category,subcategory,priority,department
Need immediate help with this. Spam filter letting through malicious invoice attachments,Spoofed emails with zip attachments bypassing Office 365 spam filters. Occurred right after rebooting.,Email,Spam,HIGH,Email Support
Issue started this morning. Lost company laptop on public transit,Left encrypted MacBook Pro on the train this morning. Need remote wipe immediately. Restarting the system did not resolve the problem.,Security,Security Incident,CRITICAL,Security
Escalation: Office WiFi keeps dropping connection,The 5GHz WiFi in conference room 3B drops connections every few minutes. Impacting ongoing customer deliverables.,Network,WiFi,MEDIUM,Network Support
Help needed: VPN client installation error,"When trying to install the Cisco VPN client on macOS, the installer throws error 1722. Kindly look into this as soon as possible.",Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Password reset link expired or invalid,Self-service password reset portal says security questions are not configured. Multiple teammates are experiencing this as well.,Account & Access,Password Reset,LOW,IT Helpdesk
Need immediate help with this. NFS mount stale file handle on backup server,Backup script failing because NFS export becomes unreachable during sync. Occurred right after rebooting.,Server / Infrastructure,Storage,HIGH,Infrastructure
Suspicious CEO gift card request email,Email purporting to be from CEO asking for employee cell phone numbers.,Email,Spam,MEDIUM,Email Support
FYI for the helpdesk team. Shared network drive \\nas01\projects is out of space,Users cannot save files to corporate project storage; disk quota exceeded. Multiple teammates are experiencing this as well.,Server / Infrastructure,Storage,HIGH,Infrastructure
Jabra headset microphone not capturing audio,Can hear callers in Teams meeting but microphone picks up no sound.,Hardware,Peripherals,MEDIUM,Hardware Support
Urgent assistance required: Please install Adobe Acrobat Pro,I need to edit and sign PDF contracts for clients; standard Reader is insufficient. Error code was captured in screenshot.,Software,Software Installation,LOW,Software Support
Certificate error when joining 802.1x WiFi,Device prompts for RADIUS server certificate trust and refuses to connect.,Network,WiFi,LOW,Network Support
Help needed: Ransomware note displayed on desktop background,Files have .locked extension and a text file demands cryptocurrency payment. Disconnected from LAN. Kindly look into this as soon as possible.,Security,Malware,HIGH,Security
ERP system password expired,SAP / Oracle login states credentials have expired and requires IT admin reset.,Account & Access,Password Reset,HIGH,IT Helpdesk
Please assist urgently. Antivirus pop-up: Trojan.Win32 detected and quarantined,Windows Defender alerted about suspicious executable found in Temp directory. This is blocking my daily tasks.,Security,Malware,CRITICAL,Security
Please assist urgently. Laptop won't power on at all,"Pressing power button produces no fan noise, charging LED doesn't light up. This is blocking my daily tasks.",Hardware,Laptop,HIGH,Hardware Support
Please assist urgently. Core API server unresponsive with HTTP 502/504 errors,NGINX reverse proxy is throwing 502 Bad Gateway for all client traffic to main backend. This is blocking my daily tasks.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Please assist urgently. Core API server unresponsive with HTTP 502/504 errors,NGINX reverse proxy is throwing 502 Bad Gateway for all client traffic to main backend. This is blocking my daily tasks.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
FYI for the helpdesk team. MFA push notifications not received on mobile,Authenticator app is not popping up push requests to approve login. Multiple teammates are experiencing this as well.,Account & Access,MFA,MEDIUM,IT Helpdesk
Issue started this morning. Unable to connect to office WiFi,My laptop sees the Corp-WiFi SSID but fails to obtain an IP address via DHCP. Restarting the system did not resolve the problem.,Network,WiFi,HIGH,Network Support
Unable to connect to office WiFi,My laptop sees the Corp-WiFi SSID but fails to obtain an IP address via DHCP.,Network,WiFi,MEDIUM,Network Support
NodeJS and Git installation approval,Requesting admin privilege or Software Center deployment of Node.js v20 LTS.,Software,Software Installation,MEDIUM,Software Support
Tableau Desktop license activation error,Tableau activation server unreachable error when activating license key.,Software,License Issue,MEDIUM,Software Support
Please assist urgently. Production Kubernetes cluster node kernel panic,Worker node 04 crashed with kernel panic; pods evicting to remaining nodes. This is blocking my daily tasks.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Need immediate help with this. Internal DNS not resolving intranet portals,Attempts to navigate to intranet.company.local result in DNS_PROBE_FINISHED_NXDOMAIN. Occurred right after rebooting.,Network,DNS,CRITICAL,Network Support
Help needed: Outgoing emails blocked by spam filter,Sent emails are bouncing with SPF/DKIM validation failure message. Kindly look into this as soon as possible.,Email,Email Not Sending,CRITICAL,Email Support
Help needed: Lost company laptop on public transit,Left encrypted MacBook Pro on the train this morning. Need remote wipe immediately. Kindly look into this as soon as possible.,Security,Security Incident,HIGH,Security
SSO login loop on Okta / Azure AD,Attempting to login to internal portal keeps redirecting back to login screen in a loop.,Account & Access,Login Problem,CRITICAL,IT Helpdesk
Help needed: Touchpad unresponsive on Dell Latitude,Cursor doesn't move when using the trackpad; external USB mouse works fine. Kindly look into this as soon as possible.,Hardware,Laptop,HIGH,Hardware Support
Issue started this morning. Jira and Confluence project space permissions,Need edit permissions in Jira project board SRE and team documentation space. Restarting the system did not resolve the problem.,Account & Access,Access Request,HIGH,IT Helpdesk
Need immediate help with this. Offsite cloud backup replication sync error,AWS S3 glacier lifecycle replication job timed out with network error. Occurred right after rebooting.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
Slack crashes every time a call starts,Joining huddles in Slack causes the app to terminate immediately on Windows 11.,Software,Application Crash,CRITICAL,Software Support
FYI for the helpdesk team. Laptop fan making loud grinding noise and overheating,The cooling fan is rattling loudly and the CPU throttles to 0.4 GHz. Multiple teammates are experiencing this as well.,Hardware,Laptop,HIGH,Hardware Support
Urgent assistance required: Certificate error when joining 802.1x WiFi,Device prompts for RADIUS server certificate trust and refuses to connect. Error code was captured in screenshot.,Network,WiFi,MEDIUM,Network Support
Mailbox full quota exceeded error,Cannot receive new incoming emails because mailbox has reached 50 GB limit.,Email,Email Not Receiving,HIGH,Email Support
FYI for the helpdesk team. Visual Studio Code memory leak and crash,VS Code consumes 16 GB RAM within 30 minutes and freezes the operating system. Multiple teammates are experiencing this as well.,Software,Application Crash,HIGH,Software Support
Urgent assistance required: Confidential customer data sent to wrong external email address,Mistakenly autofilled incorrect recipient and sent quarterly client PII spreadsheet. Error code was captured in screenshot.,Security,Security Incident,CRITICAL,Security
Need immediate help with this. Spam filter letting through malicious invoice attachments,Spoofed emails with zip attachments bypassing Office 365 spam filters. Occurred right after rebooting.,Email,Spam,LOW,Email Support
Outlook OST data file corrupt error,Error message: 'The file C:\Users\user\AppData\outlook.ost cannot be accessed.',Email,Outlook Problem,LOW,Email Support
Need immediate help with this. ERP system password expired,SAP / Oracle login states credentials have expired and requires IT admin reset. Occurred right after rebooting.,Account & Access,Password Reset,LOW,IT Helpdesk
FYI for the helpdesk team. PostgreSQL primary database connection pool exhausted,Application logs show 'FATAL: remaining connection slots are reserved for non-replication superuser connections'. Multiple teammates are experiencing this as well.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Urgent assistance required: Charger cable frayed and spark noticed,The USB-C power adapter cable is frayed near the brick and needs replacement. Error code was captured in screenshot.,Hardware,Laptop,HIGH,Hardware Support
Urgent assistance required: Multiple failed login attempts during midnight hours,Security log shows 400 failed login attempts against my username. Error code was captured in screenshot.,Security,Suspicious Login,HIGH,Security
Escalation: Outlook calendar appointments disappeared,Shared team calendar is not syncing and recurring meetings have vanished. Impacting ongoing customer deliverables.,Email,Outlook Problem,MEDIUM,Email Support
Alert: Login to my corporate account from Russia / Unknown location,Received Microsoft security alert about successful login from unfamiliar IP address.,Security,Suspicious Login,CRITICAL,Security
Need immediate help with this. Monitor resolution stuck at 1024x768,Display settings won't allow switching to native 2560x1440 resolution. Occurred right after rebooting.,Hardware,Monitor,MEDIUM,Hardware Support
Escalation: VPN routing issues with subnet,Unable to access 10.200.x.x subnet while on corporate VPN. Impacting ongoing customer deliverables.,Network,VPN,HIGH,Network Support
Please assist urgently. Cannot connect to corporate VPN,Unable to establish VPN connection from home. It says handshake failed or connection timed out. This is blocking my daily tasks.,Network,VPN,HIGH,Network Support
Help needed: Excel crashing when opening financial report,Opening large 50MB spreadsheet causes Excel to crash with Exception code 0xc0000005. Kindly look into this as soon as possible.,Software,Application Crash,HIGH,Software Support
Alert: Login to my corporate account from Russia / Unknown location,Received Microsoft security alert about successful login from unfamiliar IP address.,Security,Suspicious Login,CRITICAL,Security
Printer leaving black smudge across pages,"Drum unit appears dirty, leaving horizontal stripes on every printed invoice.",Hardware,Printer,LOW,Hardware Support
Escalation: Figma enterprise seat license request,Need editor access to team design files in Figma workspace. Impacting ongoing customer deliverables.,Software,License Issue,MEDIUM,Software Support
FYI for the helpdesk team. Microsoft 365 license expired notification,Word and PowerPoint are showing 'Unlicensed Product' banner and disabled editing. Multiple teammates are experiencing this as well.,Software,License Issue,MEDIUM,Software Support
Requesting Python and Docker desktop installation,Need local development tools installed on my workstation for new project.,Software,Software Installation,LOW,Software Support
Need immediate help with this. External USB keyboard typing double letters,Keys chattering: typing 'e' produces 'ee' on the mechanical keyboard. Occurred right after rebooting.,Hardware,Peripherals,LOW,Hardware Support
Stale DNS records for staging server,DNS still points to the old decommissioned IP address 10.0.5.21.,Network,DNS,HIGH,Network Support
MFA push notifications not received on mobile,Authenticator app is not popping up push requests to approve login.,Account & Access,MFA,HIGH,IT Helpdesk
Cannot access internal git server through VPN,VPN is connected with green status but I cannot ping or clone from gitlab.internal.,Network,VPN,CRITICAL,Network Support
Laptop fan making loud grinding noise and overheating,The cooling fan is rattling loudly and the CPU throttles to 0.4 GHz.,Hardware,Laptop,LOW,Hardware Support
Need immediate help with this. Offsite cloud backup replication sync error,AWS S3 glacier lifecycle replication job timed out with network error. Occurred right after rebooting.,Server / Infrastructure,Backup,HIGH,Infrastructure
Please assist urgently. No internet access on workstation,"Ethernet cable is plugged in, link lights are on, but cannot browse any websites. This is blocking my daily tasks.",Network,Internet Connectivity,HIGH,Network Support
Need immediate help with this. Core API server unresponsive with HTTP 502/504 errors,NGINX reverse proxy is throwing 502 Bad Gateway for all client traffic to main backend. Occurred right after rebooting.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Network printer offline in Windows print queue,Sending print jobs to HR-Printer-01 sits in spooler status Offline.,Hardware,Printer,LOW,Hardware Support
Jabra headset microphone not capturing audio,Can hear callers in Teams meeting but microphone picks up no sound.,Hardware,Peripherals,LOW,Hardware Support
Need immediate help with this. NFS mount stale file handle on backup server,Backup script failing because NFS export becomes unreachable during sync. Occurred right after rebooting.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Help needed: Pulse Secure VPN crashing on startup,"Whenever I launch the Pulse Secure VPN app on Windows 11, it crashes immediately. Kindly look into this as soon as possible.",Network,VPN,MEDIUM,Network Support
Need immediate help with this. VPN disconnects every 10 minutes,GlobalProtect / AnyConnect keeps dropping every few minutes disrupting remote desktop. Occurred right after rebooting.,Network,VPN,HIGH,Network Support
Issue started this morning. Outlook search indexing not returning emails,Searching for customer emails in Outlook returns zero results or incomplete list. Restarting the system did not resolve the problem.,Email,Outlook Problem,MEDIUM,Email Support
Escalation: Bounce back error 550 Relaying denied,Sending email to client domains results in NDR error 5.7.1 Access denied. Impacting ongoing customer deliverables.,Email,Email Not Sending,CRITICAL,Email Support
Escalation: User account disabled message on Windows login,Screen shows 'Your account has been disabled. Please see your system administrator.' Impacting ongoing customer deliverables.,Account & Access,Login Problem,MEDIUM,IT Helpdesk
Please assist urgently. Network printer offline in Windows print queue,Sending print jobs to HR-Printer-01 sits in spooler status Offline. This is blocking my daily tasks.,Hardware,Printer,MEDIUM,Hardware Support
MFA phone number change request,Changed phone number and cannot receive SMS verification codes for corporate portal.,Account & Access,MFA,HIGH,IT Helpdesk
Escalation: Antivirus pop-up: Trojan.Win32 detected and quarantined,Windows Defender alerted about suspicious executable found in Temp directory. Impacting ongoing customer deliverables.,Security,Malware,CRITICAL,Security
Total datacenter power loss / UPS failure in Server Room B,Main power feed tripped; backup generator engaged but UPS A did not switch cleanly.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Temporary password not working on first login,IT provided a temporary password but portal says incorrect credentials.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Help needed: Certificate error when joining 802.1x WiFi,Device prompts for RADIUS server certificate trust and refuses to connect. Kindly look into this as soon as possible.,Network,WiFi,MEDIUM,Network Support
NFS mount stale file handle on backup server,Backup script failing because NFS export becomes unreachable during sync.,Server / Infrastructure,Storage,HIGH,Infrastructure
Nightly automated database backup failed,Veeam / pg_dump job terminated with exit code 1; snapshot could not be committed.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
Outlook OST data file corrupt error,Error message: 'The file C:\Users\user\AppData\outlook.ost cannot be accessed.',Email,Outlook Problem,MEDIUM,Email Support
Urgent assistance required: Laptop screen cracked / black display,Accidentally dropped backpack and the screen has rainbow lines and cracked LCD. Error code was captured in screenshot.,Hardware,Laptop,MEDIUM,Hardware Support
Urgent assistance required: User account disabled message on Windows login,Screen shows 'Your account has been disabled. Please see your system administrator.' Error code was captured in screenshot.,Account & Access,Login Problem,MEDIUM,IT Helpdesk
Help needed: USB thumb drive found in parking lot plugged in by mistake,An employee plugged an unknown USB drive found outside into their desktop. Kindly look into this as soon as possible.,Security,Security Incident,CRITICAL,Security
Escalation: Production Kubernetes cluster node kernel panic,Worker node 04 crashed with kernel panic; pods evicting to remaining nodes. Impacting ongoing customer deliverables.,Server / Infrastructure,Server Down,HIGH,Infrastructure
Dead pixels line across display,A vertical pink line has appeared down the center of my secondary screen.,Hardware,Monitor,MEDIUM,Hardware Support
Escalation: NodeJS and Git installation approval,Requesting admin privilege or Software Center deployment of Node.js v20 LTS. Impacting ongoing customer deliverables.,Software,Software Installation,LOW,Software Support
Issue started this morning. Touchpad unresponsive on Dell Latitude,Cursor doesn't move when using the trackpad; external USB mouse works fine. Restarting the system did not resolve the problem.,Hardware,Laptop,HIGH,Hardware Support
Please assist urgently. Clicked suspicious link in unexpected email,I inadvertently clicked on a link in an email claiming to be Microsoft password reset. This is blocking my daily tasks.,Security,Phishing,CRITICAL,Security
FYI for the helpdesk team. Cannot access internal git server through VPN,VPN is connected with green status but I cannot ping or clone from gitlab.internal. Multiple teammates are experiencing this as well.,Network,VPN,MEDIUM,Network Support
Need immediate help with this. Remote access VPN speed extremely slow,VPN connection is established but speeds are below 50 Kbps making it impossible to work. Occurred right after rebooting.,Network,VPN,HIGH,Network Support
Guest WiFi password not working,Visitors in our reception area cannot authenticate to Corp-Guest network.,Network,WiFi,HIGH,Network Support
Ethernet port on wall plate not working,Plugging into jack D-14 at desk 42 does not provide link light or IP address.,Network,Internet Connectivity,HIGH,Network Support
Urgent assistance required: Cannot send email to distribution list,Getting error: 'You don't have permission to send to this distribution group.' Error code was captured in screenshot.,Email,Email Not Sending,HIGH,Email Support
Need immediate help with this. Database replica lag exceeded 30 minutes,Read replica in secondary region is falling behind master causing stale reads. Occurred right after rebooting.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Issue started this morning. Unable to connect to office WiFi,My laptop sees the Corp-WiFi SSID but fails to obtain an IP address via DHCP. Restarting the system did not resolve the problem.,Network,WiFi,HIGH,Network Support
FYI for the helpdesk team. Network printer offline in Windows print queue,Sending print jobs to HR-Printer-01 sits in spooler status Offline. Multiple teammates are experiencing this as well.,Hardware,Printer,HIGH,Hardware Support
Intermittent packet loss on office LAN,Experiencing 25% packet loss when pinging local gateway 192.168.1.1.,Network,Internet Connectivity,HIGH,Network Support
Need immediate help with this. Request access to Finance shared network drive,Need read/write permissions to \fileserver\finance\quarterly-reports for audit. Occurred right after rebooting.,Account & Access,Access Request,LOW,IT Helpdesk
VPN routing issues with subnet,Unable to access 10.200.x.x subnet while on corporate VPN.,Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Slack crashes every time a call starts,Joining huddles in Slack causes the app to terminate immediately on Windows 11. Multiple teammates are experiencing this as well.,Software,Application Crash,HIGH,Software Support
Help needed: Jabra headset microphone not capturing audio,Can hear callers in Teams meeting but microphone picks up no sound. Kindly look into this as soon as possible.,Hardware,Peripherals,MEDIUM,Hardware Support
FYI for the helpdesk team. Charger cable frayed and spark noticed,The USB-C power adapter cable is frayed near the brick and needs replacement. Multiple teammates are experiencing this as well.,Hardware,Laptop,HIGH,Hardware Support
Help needed: ERP system password expired,SAP / Oracle login states credentials have expired and requires IT admin reset. Kindly look into this as soon as possible.,Account & Access,Password Reset,HIGH,IT Helpdesk
Urgent assistance required: Clicked suspicious link in unexpected email,I inadvertently clicked on a link in an email claiming to be Microsoft password reset. Error code was captured in screenshot.,Security,Phishing,HIGH,Security
Please assist urgently. Phishing campaign report: fake payroll bonus notification,Received email claiming HR bonus with macro-enabled Excel document attached. This is blocking my daily tasks.,Security,Phishing,HIGH,Security
Entered credentials on fake login page,"Realized after submitting password that the URL was secure-login-verify.xyz, not company domain.",Security,Phishing,HIGH,Security
Urgent assistance required: Confidential customer data sent to wrong external email address,Mistakenly autofilled incorrect recipient and sent quarterly client PII spreadsheet. Error code was captured in screenshot.,Security,Security Incident,CRITICAL,Security
Ransomware note displayed on desktop background,Files have .locked extension and a text file demands cryptocurrency payment. Disconnected from LAN.,Security,Malware,CRITICAL,Security
Multiple failed login attempts during midnight hours,Security log shows 400 failed login attempts against my username.,Security,Suspicious Login,CRITICAL,Security
Escalation: macOS Sonoma update bricked display output,"After applying OS patch, secondary monitors are no longer detected. Impacting ongoing customer deliverables.",Software,Update Issue,MEDIUM,Software Support
Escalation: YubiKey hardware token not recognized for MFA,FIDO2 security key fails when tapping for multi-factor authentication. Impacting ongoing customer deliverables.,Account & Access,MFA,HIGH,IT Helpdesk
Laptop battery swollen and pushing touchpad,The chassis of my ThinkPad is bulging and the trackpad cannot be clicked. Urgent safety hazard.,Hardware,Laptop,HIGH,Hardware Support
Issue started this morning. Guest WiFi password not working,Visitors in our reception area cannot authenticate to Corp-Guest network. Restarting the system did not resolve the problem.,Network,WiFi,MEDIUM,Network Support
Outgoing emails blocked by spam filter,Sent emails are bouncing with SPF/DKIM validation failure message.,Email,Email Not Sending,HIGH,Email Support
Laptop keyboard spacebar and enter key broken,Several keys on the built-in keyboard are unresponsive or falling off.,Hardware,Laptop,MEDIUM,Hardware Support
Urgent assistance required: WiFi captive portal not appearing,"When connecting to the guest wireless network, the captive portal login page does not load. Error code was captured in screenshot.",Network,WiFi,HIGH,Network Support
Escalation: Network printer offline in Windows print queue,Sending print jobs to HR-Printer-01 sits in spooler status Offline. Impacting ongoing customer deliverables.,Hardware,Printer,MEDIUM,Hardware Support
Need immediate help with this. Database disk space utilization reached 98%,Postgres WAL archive directory is filling up rapidly; less than 2 GB remaining. Occurred right after rebooting.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Need immediate help with this. Dead pixels line across display,A vertical pink line has appeared down the center of my secondary screen. Occurred right after rebooting.,Hardware,Monitor,MEDIUM,Hardware Support
FYI for the helpdesk team. Floor 2 HP LaserJet paper jam error 13.00,Paper is stuck in tray 2 and the printer display says Jam in Cartridge Area. Multiple teammates are experiencing this as well.,Hardware,Printer,LOW,Hardware Support
Please assist urgently. Outgoing emails blocked by spam filter,Sent emails are bouncing with SPF/DKIM validation failure message. This is blocking my daily tasks.,Email,Email Not Sending,HIGH,Email Support
VPN tunnel blocked by home ISP,My ISP appears to be throttling UDP port 4500 and VPN won't establish tunnel.,Network,VPN,HIGH,Network Support
Company-wide intranet and ERP completely inaccessible,"All employees in North America region unable to access ERP, HR portal, or intranet.",Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Please assist urgently. Active Directory domain controller replication failed,DC02 is failing Kerberos authentication and replication sync with primary DC01. This is blocking my daily tasks.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
FYI for the helpdesk team. Printer out of toner cartridge black,Printing documents comes out faint and streaked. Need replacement black toner. Multiple teammates are experiencing this as well.,Hardware,Printer,MEDIUM,Hardware Support
Please assist urgently. Reverse DNS lookup failure,Mail server is failing reverse PTR checks causing outgoing emails to bounce. This is blocking my daily tasks.,Network,DNS,HIGH,Network Support
Issue started this morning. Second monitor not detected by docking station,Laptop only outputs to built-in screen; external display says No Signal. Restarting the system did not resolve the problem.,Hardware,Monitor,MEDIUM,Hardware Support
Tableau Desktop license activation error,Tableau activation server unreachable error when activating license key.,Software,License Issue,MEDIUM,Software Support
SSO login loop on Okta / Azure AD,Attempting to login to internal portal keeps redirecting back to login screen in a loop.,Account & Access,Login Problem,MEDIUM,IT Helpdesk
Help needed: SSO login loop on Okta / Azure AD,Attempting to login to internal portal keeps redirecting back to login screen in a loop. Kindly look into this as soon as possible.,Account & Access,Login Problem,MEDIUM,IT Helpdesk
Phishing campaign report: fake payroll bonus notification,Received email claiming HR bonus with macro-enabled Excel document attached.,Security,Phishing,HIGH,Security
FYI for the helpdesk team. Total datacenter power loss / UPS failure in Server Room B,Main power feed tripped; backup generator engaged but UPS A did not switch cleanly. Multiple teammates are experiencing this as well.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
FYI for the helpdesk team. Reverse DNS lookup failure,Mail server is failing reverse PTR checks causing outgoing emails to bounce. Multiple teammates are experiencing this as well.,Network,DNS,HIGH,Network Support
Issue started this morning. Outlook OST data file corrupt error,Error message: 'The file C:\Users\user\AppData\outlook.ost cannot be accessed.' Restarting the system did not resolve the problem.,Email,Outlook Problem,MEDIUM,Email Support
Stale DNS records for staging server,DNS still points to the old decommissioned IP address 10.0.5.21.,Network,DNS,HIGH,Network Support
Need immediate help with this. Production Linux server unreachable via SSH or ping,Webserver prod-web-01 stopped responding to health checks 10 minutes ago. Occurred right after rebooting.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Ransomware note displayed on desktop background,Files have .locked extension and a text file demands cryptocurrency payment. Disconnected from LAN.,Security,Malware,CRITICAL,Security
Issue started this morning. Entered credentials on fake login page,"Realized after submitting password that the URL was secure-login-verify.xyz, not company domain. Restarting the system did not resolve the problem.",Security,Phishing,HIGH,Security
Help needed: External USB keyboard typing double letters,Keys chattering: typing 'e' produces 'ee' on the mechanical keyboard. Kindly look into this as soon as possible.,Hardware,Peripherals,LOW,Hardware Support
Help needed: VPN authentication failed,Entering my credentials but VPN says authentication error even though password is correct. Kindly look into this as soon as possible.,Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Spear phishing targeting executive assistant,Attacker attempting wire transfer authorization using spoofed CFO email header. Multiple teammates are experiencing this as well.,Security,Phishing,HIGH,Security
FYI for the helpdesk team. Emails going directly to Junk / Spam folder,Legitimate internal communication from HR is being routed to Spam folder. Multiple teammates are experiencing this as well.,Email,Email Not Receiving,HIGH,Email Support
Issue started this morning. Dead pixels line across display,A vertical pink line has appeared down the center of my secondary screen. Restarting the system did not resolve the problem.,Hardware,Monitor,MEDIUM,Hardware Support
Issue started this morning. Phishing campaign report: fake payroll bonus notification,Received email claiming HR bonus with macro-enabled Excel document attached. Restarting the system did not resolve the problem.,Security,Phishing,CRITICAL,Security
FYI for the helpdesk team. Unknown PowerShell script executing in background,EDR software alerted on encoded PowerShell command execution under user profile. Multiple teammates are experiencing this as well.,Security,Malware,HIGH,Security
Need immediate help with this. WiFi captive portal not appearing,"When connecting to the guest wireless network, the captive portal login page does not load. Occurred right after rebooting.",Network,WiFi,MEDIUM,Network Support
FYI for the helpdesk team. Microsoft 365 license expired notification,Word and PowerPoint are showing 'Unlicensed Product' banner and disabled editing. Multiple teammates are experiencing this as well.,Software,License Issue,MEDIUM,Software Support
FYI for the helpdesk team. High network latency in design studio,"Ping times to internal file server spiked to 600ms, impacting video editing. Multiple teammates are experiencing this as well.",Network,Internet Connectivity,MEDIUM,Network Support
Please assist urgently. Salesforce desktop plugin crashing Outlook,Add-in for Salesforce causes Outlook to hang during startup in safe mode. This is blocking my daily tasks.,Software,Application Crash,MEDIUM,Software Support
Temporary password not working on first login,IT provided a temporary password but portal says incorrect credentials.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Urgent assistance required: Total datacenter power loss / UPS failure in Server Room B,Main power feed tripped; backup generator engaged but UPS A did not switch cleanly. Error code was captured in screenshot.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Need immediate help with this. Outlook search indexing not returning emails,Searching for customer emails in Outlook returns zero results or incomplete list. Occurred right after rebooting.,Email,Outlook Problem,MEDIUM,Email Support
FYI for the helpdesk team. VPN client installation error,"When trying to install the Cisco VPN client on macOS, the installer throws error 1722. Multiple teammates are experiencing this as well.",Network,VPN,MEDIUM,Network Support
Urgent assistance required: VPN certificate expired,Error message says client certificate has expired and needs renewal from network admin. Error code was captured in screenshot.,Network,VPN,HIGH,Network Support
Urgent assistance required: VPN authentication failed,Entering my credentials but VPN says authentication error even though password is correct. Error code was captured in screenshot.,Network,VPN,HIGH,Network Support
Urgent assistance required: YubiKey hardware token not recognized for MFA,FIDO2 security key fails when tapping for multi-factor authentication. Error code was captured in screenshot.,Account & Access,MFA,HIGH,IT Helpdesk
FYI for the helpdesk team. Cannot login to workstation with smart card,PIN is entered correctly but smart card reader shows error 0x80090016. Multiple teammates are experiencing this as well.,Account & Access,Login Problem,MEDIUM,IT Helpdesk
Urgent assistance required: VPN client installation error,"When trying to install the Cisco VPN client on macOS, the installer throws error 1722. Error code was captured in screenshot.",Network,VPN,HIGH,Network Support
Visual Studio Code memory leak and crash,VS Code consumes 16 GB RAM within 30 minutes and freezes the operating system.,Software,Application Crash,HIGH,Software Support
AWS IAM console read-only access request,Requesting AWS sandbox account access for cloud architecture evaluation.,Account & Access,Access Request,LOW,IT Helpdesk
"FYI for the helpdesk team. New phone, need MFA Authenticator reset",I upgraded my smartphone and lost Microsoft Authenticator app 2FA tokens. Multiple teammates are experiencing this as well.,Account & Access,MFA,HIGH,IT Helpdesk
Issue started this morning. Bounce back error 550 Relaying denied,Sending email to client domains results in NDR error 5.7.1 Access denied. Restarting the system did not resolve the problem.,Email,Email Not Sending,MEDIUM,Email Support
Help needed: Please install Adobe Acrobat Pro,I need to edit and sign PDF contracts for clients; standard Reader is insufficient. Kindly look into this as soon as possible.,Software,Software Installation,MEDIUM,Software Support
Help needed: Need access to GitHub organization repository,"Starting on Project Apollo, please add my GitHub user to backend engineering team. Kindly look into this as soon as possible.",Account & Access,Access Request,MEDIUM,IT Helpdesk
Help needed: macOS Sonoma update bricked display output,"After applying OS patch, secondary monitors are no longer detected. Kindly look into this as soon as possible.",Software,Update Issue,MEDIUM,Software Support
Escalation: Install Postman for API testing,Require Postman desktop client for testing microservices endpoints. Impacting ongoing customer deliverables.,Software,Software Installation,LOW,Software Support
Help needed: JetBrains IntelliJ IDEA license key expired,License server says no floating licenses available for IntelliJ Ultimate. Kindly look into this as soon as possible.,Software,License Issue,LOW,Software Support
Help needed: Laptop keyboard spacebar and enter key broken,Several keys on the built-in keyboard are unresponsive or falling off. Kindly look into this as soon as possible.,Hardware,Laptop,LOW,Hardware Support
Please assist urgently. Company-wide intranet and ERP completely inaccessible,"All employees in North America region unable to access ERP, HR portal, or intranet. This is blocking my daily tasks.",Server / Infrastructure,System Outage,CRITICAL,Infrastructure
FYI for the helpdesk team. Laptop won't power on at all,"Pressing power button produces no fan noise, charging LED doesn't light up. Multiple teammates are experiencing this as well.",Hardware,Laptop,MEDIUM,Hardware Support
Escalation: Not receiving external emails from clients,"Colleagues can email me internally, but no external emails are arriving today. Impacting ongoing customer deliverables.",Email,Email Not Receiving,HIGH,Email Support
Escalation: WiFi adapter not recognized in laptop,Windows Device Manager shows a yellow exclamation mark next to Intel WiFi 6 AX201. Impacting ongoing customer deliverables.,Network,WiFi,MEDIUM,Network Support
Please assist urgently. Please install Adobe Acrobat Pro,I need to edit and sign PDF contracts for clients; standard Reader is insufficient. This is blocking my daily tasks.,Software,Software Installation,LOW,Software Support
Urgent assistance required: Important client email delayed by 8 hours,Incoming emails are queuing up in mail gateway with severe delivery latency. Error code was captured in screenshot.,Email,Email Not Receiving,HIGH,Email Support
Session hijacked on corporate portal,Activity log indicates active session while I was asleep and laptop was powered off.,Security,Suspicious Login,CRITICAL,Security
